[m0m2m4] 12346 graphs, blocks: m=0 nf=11, m=2 nf=120, m=2 nf=120, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272
assembled A: (435340, 422995), nnz=10092835 (0.2s)
------------------------------------------------------------------
	       SCS v3.2.11 - Splitting Conic Solver
	(c) Brendan O'Donoghue, Stanford University, 2012
------------------------------------------------------------------
problem:  variables n: 422995, constraints m: 435340
cones: 	  l: linear vars: 12346
	  s: psd vars: 422994, ssize: 14
settings: eps_abs: 1.0e-09, eps_rel: 1.0e-09, eps_infeas: 1.0e-07
	  alpha: 1.50, scale: 1.00e-01, adaptive_scale: 1
	  max_iters: 200000, normalize: 1, rho_x: 1.00e-06
	  acceleration_lookback: 10, acceleration_interval: 10
lin-sys:  sparse-direct-amd-qdldl
	  nnz(A): 10092835, nnz(P): 0
------------------------------------------------------------------
 iter | pri res | dua res |   gap   |   obj   |  scale  | time (s)
------------------------------------------------------------------
     0| 4.26e-01  4.16e+00  2.27e-01 -1.28e-01  1.00e-01  1.74e+02 
   250| 6.24e-04  1.10e-04  3.92e-05  7.61e-05  1.00e-01  2.36e+02 
   500| 3.66e-04  4.37e-04  3.49e-05  4.33e-05  1.00e-01  2.93e+02 
   750| 2.68e-04  3.90e-04  3.45e-05  4.05e-05  1.00e-01  3.43e+02 
  1000| 2.13e-04  3.67e-04  3.49e-05  4.09e-05  1.00e-01  3.93e+02 
  1250| 1.79e-04  2.72e-04  3.41e-05  4.05e-05  1.00e-01  4.43e+02 
  1500| 1.56e-04  2.63e-04  3.40e-05  4.08e-05  1.00e-01  4.93e+02 
  1750| 1.38e-04  2.57e-04  3.30e-05  4.01e-05  1.00e-01  5.44e+02 
  2000| 1.27e-04  2.36e-04  3.19e-05  3.95e-05  1.00e-01  5.94e+02 
  2250| 1.17e-04  2.30e-04  3.15e-05  3.93e-05  1.00e-01  6.44e+02 
  2500| 1.09e-04  2.18e-04  3.06e-05  3.88e-05  1.00e-01  6.94e+02 
  2750| 8.98e-02  2.36e-01  8.15e-06 -5.35e-06  1.00e-01  7.45e+02 
